,Price Range ($),Count
0,$0K-$5K,2781
1,$5K-$10K,718
2,$10K-$15K,243
3,$15K-$20K,182
4,$20K-$25K,166
5,$25K-$30K,218
6,$30K-$35K,110
7,$35K-$40K,139
8,$40K-$45K,151
9,$45K-$50K,107
10,$50K-$55K,56
11,$55K-$60K,107
12,$60K-$65K,128
13,$65K-$70K,100
14,$70K-$75K,19
15,$75K-$80K,4
16,$80K-$85K,1
17,$85K-$90K,4
18,$90K-$95K,3
