Asset,Price,Market Cap,Week To Date Return,MTD,YTD,90 Day BTC Correlation
Bitcoin,63202.8806992987,"1,249.3 Billion",0.012598780100268714,0.038526116679324485,0.4348158014321859,1.0
COIN,176.3800048828125,43.8 Billion,0.04416295758188471,0.06890498002837964,0.01414447297473842,0.6635710359589747
SQ,69.69999694824219,42.9 Billion,0.06072131972852768,0.05702144931185038,-0.09890112057905676,0.3277834638985609
MSTR,212.58999633789062,43.1 Billion,0.1424042158176142,0.30671825648571205,2.3657895657078023,0.730876910087554
MARA,16.079999923706055,4.7 Billion,0.005628527446914111,0.06702058721532156,-0.31545338099675,0.7033606724637007
RIOT,8.40999984741211,2.6 Billion,0.030637255474861957,0.18785309859295318,-0.4563671814966719,0.7134213420009898
