time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly
2010,,,,,,,,,,,,,
2011,0.7504562341710499,0.6380889862578316,-0.08789709872961582,3.4608149271612643,1.4918789777072718,0.8557726261560306,-0.1737603347337371,-0.38688332201273057,-0.37265633595335157,-0.3652220858981653,-0.09159193609996452,0.5894269377090233,14.714354437950501
2012,0.17476886448027207,-0.12015981750450289,0.0034945609406284994,0.010703951987291793,0.0484656515353612,0.28924973221800543,0.3952697234492142,0.08383344624245215,0.22660065201357105,-0.10051554083803171,0.12919951623656978,0.0762277869008754,1.8732864373750333
2013,0.5142714271779172,0.6271389808539469,1.8134355491086716,0.4816909048646998,-0.08131378789146204,-0.29992672753215066,0.09547860540637743,0.3096530339228196,-0.017820167781326668,0.6122073739370102,4.50608332381565,-0.34820001410472523,52.8595665217973
2014,0.10099273532377628,-0.3136591574601111,-0.17402562371441654,-0.014229850345189088,0.39881129450421104,0.01760443814028534,-0.08916331247798936,-0.17778089534010566,-0.18651045788674425,-0.13379383241310683,0.12310079472575097,-0.15323364499363823,-0.5604702154151742
2015,-0.32223973730464583,0.1730820381246192,-0.040149147581367894,-0.03426269656880787,-0.029101201760076356,0.14993997290875094,0.07861521694460682,-0.18941800801896524,0.026227387156545934,0.3268552412288177,0.2014212108108009,0.1385498708146362,0.339967843091314
2016,-0.14740245159765009,0.1949933283478027,-0.04984071241427024,0.08160384053044645,0.18013585468161852,0.2699742437056756,-0.0733819396572798,-0.08407706713799279,0.06394342885520654,0.14786818578953476,0.06196432122324014,0.30553056546951196,1.2551131455534361
2017,-0.0004865899455962497,0.2270532143808921,-0.08974790892146012,0.2775268190424516,0.6638966731166451,0.06665968524104193,0.16712080988246947,0.6559552576373464,-0.08560782915123666,0.4830888159519451,0.5550582889435387,0.3926055389701151,13.367289042890016
2018,-0.2780871477650071,0.025564847776975208,-0.32839191527404576,0.3331914852644018,-0.18962363005357397,-0.14751152736741313,0.2116827035553035,-0.09061232375435613,-0.05987862237328301,-0.04514630523645269,-0.36994380466814125,-0.07201360581520444,-0.7351431191077173
2019,-0.07514328720466767,0.11225845511571464,0.07945537712903294,0.28632373959048274,0.624614098945145,0.2672200973557337,-0.0722715478080953,-0.04513166081963649,-0.13770490774047373,0.10539402656012764,-0.17466249523336141,-0.0514543010560492,0.943858529804771
2020,0.3055349553171205,-0.08284395535508504,-0.25048758314720465,0.34513300366658917,0.09032544295434586,-0.03073754370943138,0.23996473467613266,0.03000043797669094,-0.07757916123756203,0.28172881000746286,0.4242105377959746,0.47589858759796244,3.0492635317777914
2021,0.14248037691302606,0.36798640448805164,0.29613953583577146,-0.017872277334221476,-0.3537921457619265,-0.06023397356714766,0.19186534025571822,0.12982771902445522,-0.07280290853592553,0.40317041433613143,-0.07058029693374479,-0.18813410611693615,0.5972036712689128
2022,-0.17026048863302978,0.12262751952411621,0.05518752417942485,-0.17225054647989146,-0.15598108501193741,-0.39264668395558167,0.20810419377644496,-0.14263898142002196,-0.029437532153341883,0.054317103889800045,-0.16172868213839842,-0.037997597859749654,-0.6435298030911751
2023,0.3997668264680396,0.0006872969656122052,0.23195126494617702,0.029718217157392868,-0.07303307677825366,0.12002564541356597,-0.04148609732206254,-0.11173763473465048,0.03940789737773698,0.2838913272624579,0.08881646631750573,0.1194410885810604,1.5548657912920194
2024,0.00881897373651741,0.4415483613606008,0.1601548152122516,-0.14869443401203386,0.1425954865892638,,,,,,,,0.641105052569267
Average,0.10024790650979447,0.17245475020546172,0.11566275982639836,0.35138550603749114,0.19699132519833087,0.08502999884672037,0.08754139199593101,-0.0014623075718996135,-0.052601427493091144,0.15798796419827163,0.40164209575349386,0.09589593123822168,6.375480776268309
