Asset,Price,Week To Date Return,MTD,YTD,90 Day BTC Correlation
Bitcoin,62396.999720339,-0.013144525497309267,0.07318700320935956,0.4165208954106341,1.0000000000000473
Nasdaq,16332.5595703125,-0.0010208682164319915,0.046591266639849804,0.08801406904229103,0.4396777963713814
S&P500,5187.7001953125,0.0013434298232750663,0.033737922716477575,0.08760691897682094,0.6854324742113306
XLF Financials ETF,41.209999084472656,0.0034087993837039754,0.021060417771725293,0.09601065842692025,0.7834615775978101
XLE Energy ETF,93.20999908447266,-0.0009646727153398427,0.012821909386368846,0.11176053382468187,0.7034403112006447
FANG+ ETF,25.290000915527344,0.021818218809185552,0.034355833389630774,0.21120698908106816,0.0808694431912946
