Asset,Price,Week To Date Return,MTD,YTD,90 Day BTC Correlation
Bitcoin,76799.2527469316,0.13308167516763758,0.10528630501596581,0.7434771985116868,0.9999999999999857
US Dollar Index,104.83000183105469,0.01002024189568873,0.006017090522719926,0.0376228857823091,0.6611454499388215
Gold Futures,2691.699951171875,-0.016227530024361392,-0.017125591474459245,0.30512998381787004,0.8084067857854034
Crude Oil Futures,70.43000030517578,-0.014551572656557932,0.013527161754258055,-0.017027232305954376,-0.20849834705937736
20+ Year Treasury Bond ETF,92.48999786376953,0.0026016028592903417,0.018163822021100895,-0.06462378203016739,-0.7666899070350747
Bloomberg Commodity Index,98.12999725341797,-0.007886021431725121,0.0006117829996987734,-0.005271203896783816,0.4859332516442254
