Asset,Price,Market Cap,Week To Date Return,MTD,YTD,90 Day BTC Correlation
BTC,58793.2061458212,"1,160.7 Billion",0.0,-0.09796010782226527,0.3347084857766647,1.0000000000000182
ETH,2614.6012806263716,314.7 Billion,0.0,-0.19129626716768788,0.146784618900059,0.8112048726684307
XRP,0.5641402621351506,31.7 Billion,0.0,-0.09612599058408133,-0.08053998841265564,0.268784503208813
DOGE,0.10009194285798964,14.6 Billion,0.0,-0.18009390537349035,0.12069823955176306,0.867698280860286
BNB,530.6035820721123,77.4 Billion,0.0,-0.0799689993430528,0.6999135813569766,0.8517610658828811
USDT,0.9985984281635789,116.7 Billion,0.0,-0.0013288729511339303,-0.0008650137400287861,0.08297766946209002
