week,2018,2019,2020,2021,2022,2023,Average
1,,0.0576634814038095,-0.0062297693841835144,0.15179788033606378,-0.11543324074889938,0.0272472245053621,0.023009115222430498
2,,-0.13280387878585653,0.11149899656080176,-0.05894702830644971,0.03061514221402195,0.22373614674822107,0.03481987568614771
3,,0.00844867540453409,0.06403351610575214,-0.106843405708415,-0.15978669474450824,0.08815232258671934,-0.02119911727118353
4,,-0.00019771913924104823,-0.013062667428008656,0.029231600306275363,0.04721275251218193,0.04660619176632341,0.0219580316035062
5,,-0.035219362462543424,0.08928428167392233,0.17628352498948896,0.11517416913613832,-0.034396269287563674,0.062225268809888504
6,,0.06709618882762514,0.0869110717953554,0.25195016431250616,-0.0038394060999243917,-0.051621563819143845,0.07009929100328369
7,,-0.005289624350992117,-0.019607423872124885,0.1775736070116254,-0.08635906829608331,0.11918230151932474,0.03709995840234996
8,,0.03627799086088146,0.0020896014986051537,-0.21114957808122026,-0.02300404383716792,-0.033852942312666,-0.04592779437431351
9,,0.007511108123772647,-0.1434965547887802,0.12625819375776204,0.019502658927962324,-0.047671170341149316,-0.0075791528640865025
10,,0.03213056873247577,-0.05059363056702826,0.172631826104773,-0.015391545427249187,-0.01578233671401874,0.02459897642579052
11,,0.01619696969013784,-0.3392274520364781,-0.04102595905632078,0.09221267573440262,0.2773148659637108,0.0010942200590904783
12,,0.0008881689245527902,0.08807326113003056,-0.03019943084091281,0.13276471295183678,-0.0048185792536281635,0.03734162658237583
13,,0.031141072037176754,0.012742617296808367,0.0446782536983128,-0.007197133050988236,0.004014573519448561,0.01707587670015165
14,,0.26739354158464845,0.15003831554515967,0.02973652667901061,-0.08992316015992785,0.00695295958126807,0.0728396366460318
15,,-0.006226097112292939,0.027662936463799914,-0.05912229933429014,-0.06056339548151246,0.06894480819183024,-0.005860809454493077
16,,0.026941063972337753,0.02458606298052235,-0.13198573468026753,-0.004864358085030274,-0.08934290426033065,-0.03493317401455367
17,,-0.02777031805465413,0.07465819210346614,0.1557943353038591,-0.026635658810957197,0.06366314945105112,0.04794193999855301
18,,0.11258871321907216,0.15782356876350812,0.030329680537461323,-0.11441520380463888,-0.020446379284226768,0.03317607588623519
19,,0.2119757192677485,-0.020430091076136803,-0.21043494979894506,-0.0844503162300061,-0.06409476397149283,-0.03348688036176646
20,,0.18395346835708914,0.11101497325465237,-0.24440861710189343,-0.027282700117217784,-0.0052441653490480356,0.003606591808716453
21,,0.06226255275512482,-0.09050337044820245,0.025247492855551057,-0.02973130271387714,0.049311667510585355,0.0033174079918363297
22,,0.001469249605488443,0.07128057552858813,0.0019195349594998135,0.016491307625256857,-0.03342880506039492,0.011546372531687665
23,,-0.1269719898185776,0.033245508930870526,0.08971894883199605,-0.10312830168248222,-0.04607904439070276,-0.030642975625779202
24,,0.18148275129252767,-0.041510248814127904,-0.08543202871896649,-0.23622518457736164,0.01725933134888802,-0.03288507589380807
25,,0.19678555828793876,-0.006227821873820316,-0.03071495691263504,0.028026425052719794,0.15608573697621786,0.06879098830608421
26,,0.004464249144720878,-0.01903156558623864,0.02460744808746318,-0.08497358375217134,0.004161035571556226,-0.01415448330693394
27,,0.05658845178086236,-0.0031237869273218477,-0.031032318889921418,0.08065559333468131,-0.01408748015071093,0.017800091829517896
28,,-0.1023995298386825,0.02307190133940673,-0.07445573802052707,-0.00016248564976195645,0.0028694518151048953,-0.03021528007089198
29,,0.029818967391114226,-0.007563238785541326,0.10761528488894778,0.0876453898770948,-0.006056260909484079,0.04229202849242628
30,,-0.10008943116179159,0.07756551411951484,0.13807061949488109,0.031024770178335936,-0.026731870281428982,0.02396792046990226
31,,0.15285964557830956,0.11678327388734755,0.1001610041097527,-0.008670673782736227,-0.007340142999439303,0.07075862135864686
32,,0.04948672200227788,0.05286601663424628,0.07054599418653895,0.050123554408291415,0.008195880210420503,0.04624363348835501
33,,-0.10397788077559267,0.01875990425468088,0.048624025146304595,-0.11352237448965707,-0.1061815529157677,-0.05125957575600639
34,,-0.02235468669489893,-0.0196672694228075,-0.008406407230538537,-0.08724391235174356,-0.0034424388500002845,-0.028222942909997762
35,,-0.033406762640411425,0.002860250044087076,0.05718877174371517,0.014657791834278067,-0.004746299773289553,0.007310750241675867
36,,0.06599746876789814,-0.12357286275239099,-0.10758038405676762,0.08871187728217955,-0.0050489185767228495,-0.016298563867160755
37,,-0.009713981873383015,0.006751359808135238,0.022473966560607517,-0.10609187166147183,0.02597480802575003,-0.012121143828072412
38,,-0.025145733181163976,0.057998848665126834,-0.0865589137720808,-0.032631947174601716,-0.008142311964652316,-0.018896011485474394
39,,-0.19732285792851068,-0.01486956934592365,0.11757886789742433,0.011820082276118304,0.06328325888228381,-0.0039020436437215756
40,,-0.026027408958267495,-0.008663183354661541,0.13481956771535963,0.02172326934579427,-0.0004944247530516144,0.02427156399903465
41,,0.0555903919932168,0.06681693122987986,0.1235975228894235,-0.008575982911997682,-0.028852018806932334,0.04171536887871803
42,,-0.009352221446017772,0.009787086236429543,-0.009709628076470023,0.01576505457048083,0.10519057676153465,0.022336173609191445
43,,0.16368330048037527,0.13508002230942617,0.009324223151312205,0.05373211843836567,0.15308677998918863,0.10298128887373359
44,,-0.036462822569592546,0.05331065100007715,0.02622140838304965,0.01601127266723834,0.01534965934126098,0.014886033764406715
45,,-0.018105810486598983,0.1283478347712892,0.03153990843306964,-0.22085970305270164,0.055499122415618496,-0.004715729583864658
46,,-0.05946433683665131,0.03140350072214915,-0.09225582382668263,-0.004512952772640855,0.010508835357354585,-0.022864155471294213
47,,-0.18362739120579596,0.15612534517571675,-0.030221499256103845,0.011646942717318476,0.007372743975986085,-0.007740771718575701
48,,0.06831636827480114,-0.01578913620053035,-0.13836985165650684,0.041715822672004244,,-0.01103169922755795
49,-0.13621412106299402,0.01499287589370435,0.06406768869441759,0.016410426762436536,-0.0015976392102552417,,-0.008468153784538157
50,-0.09745259404764672,-0.055473092431033266,-0.010344488862304546,-0.06502529363482268,-0.018616942752341936,,-0.04938248234562983
51,0.23385148554660162,0.05176499767420384,0.2282548170660499,0.08366421929406931,0.0029043104157018274,,0.1200879659993253
52,-0.02974117092397255,-0.01174209939640003,0.1233525188739304,-0.06783196253819679,-0.012962200160780868,,0.000215017170916032
